backend_monotonic_ms,command_position_deg,command_velocity_deg_s,target_position_deg,feedback_position_deg,feedback_velocity_deg_s,feedback_torque_Nm,feedback_sequence,feedback_age_ms,power_on,control_ready
53404314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404355,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404376,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404459,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404603,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404645,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404665,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404707,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404789,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404831,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404851,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404913,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404954,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53404995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405037,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405202,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405223,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405264,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405347,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
53405389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,-1,0,0
